Empresa;Cotação;Divida_Liquida;Custos;Lucro_Liquido;Lucro_Bruto;Margem_Bruta;Margem_Liquida;Divida_Bruta;Divida_Liquida.1;Roic;ROE;Receita_Liquida;EBITA;EBIT;Impostos;Margem_EBITA;Dy;P/VP;P/L;VPA;LPA
MAGAZINE LUIZA;1.72;4740000000.0;-27110000000.0;-895640000.0;10500000000.0;27.92;-2.38;7230000000.0;4740000000.0;-2.39;-2.14;37610000000.0;490950000.0;1730000000.0;902950000.0;4.6;0.0;1.16;-12.96;1.48;-0.13
HAPVIDA;3.91;5850000000.0;-20070000000.0;-785040000.0;6320000000.0;23.96;-2.97;11580000000.0;5850000000.0;-0.69;-0.4;26390000000.0;165860000.0;2280000000.0;587250000.0;8.62;0.0;0.6;-36.16;6.54;-0.11
B3 S.A. - BRASIL, BOLSA, BALCÃO;11.18;-2830000000.0;-1520000000.0;4180000000.0;9010000000.0;85.59;39.69;11430000000.0;-2830000000.0;12.3;5.11;10520000000.0;5480000000.0;6520000000.0;-1550000000.0;61.97;3.61;3.17;15.58;3.53;0.72
CVC BRASIL;2.69;17050000.0;0.0;-466730000.0;1220000000.0;100.0;-38.14;790920000.0;17050000.0;-5.5;-32.13;1220000000.0;-63760000.0;147520000.0;-8950000.0;12.05;0.0;2.25;-2.56;1.19;-1.05
CIELO;3.59;-4910000000.0;-5210000000.0;2270000000.0;4400000000.0;45.79;23.6;7400000000.0;-4910000000.0;13.17;5.08;9610000000.0;3120000000.0;3960000000.0;-604940000.0;41.24;8.21;0.83;5.14;4.31;0.7
LOJAS RENNER;12.31;-574860000.0;-5330000000.0;1020000000.0;7990000000.0;59.99;7.63;2330000000.0;-574860000.0;7.95;2.59;13310000000.0;1030000000.0;2090000000.0;69790000.0;15.68;4.44;1.22;11.67;10.08;1.05
COGNA ON;2.42;6160000000.0;-2000000000.0;-425730000.0;3480000000.0;63.56;-7.77;7760000000.0;6160000000.0;2.26;-0.87;5480000000.0;463770000.0;906940000.0;13860000.0;16.56;0.0;0.37;-11.14;6.49;-0.22
MRV ENGENHARIA E PARTICIPAÇÕES;8.27;7520000000.0;-5450000000.0;-81200000.0;1420000000.0;20.68;-1.18;8130000000.000001;7520000000.0;-0.5;-0.34;6870000000.0;-26240000.0;202390000.0;44960000.0;2.95;0.0;0.77;-38.67;10.71;-0.21
COPEL;24.99;11860000000.0;-17220000000.0;1950000000.0;4750000000.0;21.63;8.85;16309999999.999998;11860000000.0;7.87;2.29;21970000000.0;3320000000.0;4690000000.0;-327360000.0;21.36;2.44;3.43;38.65;7.3;0.65
RUMO S.A;21.98;11370000000.0;-6760000000.0;790390000.0;3560000000.0;34.49;7.66;17090000000.0;11370000000.0;10.18;1.29;10320000000.0;3470000000.0;5430000000.0;-160010000.0;52.64;0.31;2.64;51.72;8.32;0.43
AMBEV;12.64;-8439999999.999999;-41400000000.0;14720000000.0;41310000000.0;49.95;17.79;3990000000.0;-8439999999.999999;18.47;4.3;82710000000.0;17780000000.0;24170000000.0;1330000000.0;29.22;6.05;2.34;13.95;5.4;0.91
BRF S.A;10.25;15910000000.0;-46010000000.0;-3450000000.0;8199999999.999999;15.12;-6.37;23830000000.0;15910000000.0;-1.12;-8.09;54210000000.0;-290260000.0;1850000000.0;80090000.0;3.42;0.0;1.88;-5.03;5.44;-2.04
PETZ;3.75;-53320000.0;-1630000000.0;41140000.0;1460000000.0;47.25;1.33;453400000.0;-53320000.0;5.27;0.56;3090000000.0;142000000.0;370540000.0;-20240000.0;12.01;0.74;0.93;42.16;4.02;0.09
VALE;64.84;42930000000.0;-125720000000.0;57380000000.0;80690000000.0;39.09;27.8;67170000000.0;42930000000.0;20.51;7.59;206410000000.0;62840000000.0;78130000000.0;-10710000000.0;37.85;6.17;1.57;5.17;41.2;12.54
VAMOS;8.14;9170000000.0;-3350000000.0;680020000.0;2570000000.0;43.44;11.48;10510000000.0;9170000000.0;13.6;4.53;5920000000.0;2000000000.0;2450000000.0;-39550000.0;41.31;3.43;2.3;13.22;3.54;0.62
ENEVA;10.95;16579999999.999998;-5880000000.0;654990000.0;3120000000.0;34.71;7.27;18260000000.0;16579999999.999998;6.11;1.23;9000000000.0;2160000000.0;3520000000.0;-250240000.0;39.06;0.0;1.34;26.43;8.18;0.41
ANIMA;2.79;4170000000.0;-1510000000.0;41510000.0;2130000000.0;58.52;1.14;5150000000.0;4170000000.0;-0.4;0.39;3640000000.0;374090000.0;992200000.0;404750000.0;27.28;0.0;0.44;-10.26;6.39;-0.27
AMERICANAS S.A;0.8;14220000000.0;-19410000000.0;43440000.0;8590000000.0;30.68;0.16;20790000000.0;14220000000.0;1.07;0.15;27990000000.0;1170000000.0;3120000000.0;792340000.0;11.16;0.0;0.05;16.62;16.29;0.05
PETRO RIO S.A;49.81;9090000000.0;-2810000000.0;3720000000.0;5270000000.0;65.22;46.03;10250000000.0;9090000000.0;20.68;9.19;8090000000.0;4640000000.0;5990000000.0;-299460000.0;74.08;0.0;4.11;11.87;12.12;4.2
GRUPO DE MODA SOMA S.A.;5.4;1220000000.0;-2230000000.0;308870000.0;2920000000.0;56.65;6.0;1460000000.0;1220000000.0;4.24;1.04;5150000000.0;455410000.0;643570000.0;73840000.0;12.51;1.91;0.56;13.72;9.61;0.39
HIDROVIAS DO BRASIL;3.93;3570000000.0;-1220000000.0;74490000.0;749930000.0;37.98;3.77;4300000000.0;3570000000.0;6.27;1.32;1970000000.0;435830000.0;741480000.0;-72650000.0;37.55;0.0;2.01;40.11;1.96;0.1
ASSAÍ;11.09;8620000000.0;-50850000000.0;915000000.0;9980000000.0;16.4;1.5;13220000000.0;8620000000.0;16.63;5.86;60870000000.0;2970000000.0;4180000000.0;86000000.0;6.86;0.79;3.63;16.38;3.06;0.68
VIBRA ENERGIA S.A.;19.3;11240000000.0;-166620000000.0;719000000.0;5510000000.0;3.2;0.42;16899999999.999998;11240000000.0;7.33;1.42;172130000000.0;2240000000.0;2800000000.0;66000000.0;1.62;2.03;1.75;31.27;11.0;0.62
JBS;19.02;80250000000.0;-323430000000.0;-11350000000.0;-15050000000.0;-4.09;-3.09;93800000000.0;80250000000.0;-12.88;-6.39;367860000000.0;-14200000000.0;-3920000000.0;3350000000.0;-1.07;10.38;1.0;9.08;19.1;2.1
MARFRIG;6.42;43540000000.0;-122750000000.0;-7730000000.0;15320000000.0;11.1;-5.6;62130000000.0;43540000000.0;1.86;-36.27;138080000000.0;1520000000.0;5740000000.0;289320000.0;4.15;13.93;1.05;-2.61;6.14;-2.46
